prices,Address,Beds
"€349,950"," 66 Slievenamon Road , Drimnagh,   Dublin 12",2 beds
"€775,000"," Myrtleville, 14 Victoria Terrace, South Circular Road, Co. Limerick",5 beds
"€600,000"," Donoughmore, Lisronagh, Clonmel, Co. Tipperary",5 beds
"€1,600,000"," Tone House, Bodenstown, Naas, Co. Kildare. W91W183",4 beds
"€459,000"," Thomastown, Arklow, Wicklow",5 beds
"€650,000"," 46 Rathasker Heights, Naas, Co. Kildare",5 beds
"€325,000"," 23 Maple Lawns, Oldtown Demesne, Naas, Co. Kildare",3 beds
"€425,000"," 4 Gerald Street, Ringsend, Dublin 4",1 bed
"€320,000"," Ard Rua, Quarry Road, Gracedieu, Waterford City, Waterford",3 beds
"€695,000"," River Valley Lodge with 8.42 Acres,Bohana,St. Mullins,Co. Carlow,R95 N6XR",213.5m 2
"€259,000"," Rathuil, Kielty, Athlone, ., Co. Roscommon",3 beds
"€435,000"," 15 Haddington Square, Beggars Bush, Ballsbridge, Dublin 4",1 bed
"€495,000"," 6 Rahillion Drive, Donabate,   County Dublin",4 beds
"€375,000"," 1 The View, Riverbank, Drogheda, Co. Louth",5 beds
"€95,000"," Foynes, Shanagolden, Limerick",2 beds
"€375,000"," 15 Shelmalier Road, East Wall, Dublin 3",2 beds
"€245,000"," Lough Hyne Road, Skibbereen, Cork",3 beds
"€335,000"," 23 Bramblefield Park, Clonee, Dublin 15",3 beds
"€335,000"," 32 Beechgrove, Heronswood, Carrigaline, Cork",3 beds
"€249,950"," 32 Ros Glas Avenue, Monasterevin, Kildare",3 beds
"€235,000"," 174 Lower Glanmire Road, Glanmire, Cork",2 beds
"€430,000"," 55 Sutton Grove,Sutton, Bayside, Dublin 13",3 beds
"€195,000"," No. 38 Oakbrook, Castlelake, Carrigtwohill, Cork",2 beds
"€425,000"," 22 Woodmount, Ballinderreen, Galway",4 beds
"€405,000"," Cherryville Blossom, Kildare Town, Kildare",4 beds
"€450,000"," 11 Charnwood Dale, Clonsilla,   Dublin 15",4 beds
"€575,000"," 30 The Heights Woodpark, Ballinteer, Dublin 16",3 beds
"€305,000"," 14 Merchant Sqaure, East Wall,   Dublin 3",2 beds
"€360,000"," 9 Annfield Drive, Castleknock, Dublin 15",3 beds
"€295,000","  18 Elm Park, Johnstown Wood, Navan, Meath",3 beds
"€750,000"," Gentle House, Knockanree, Avoca, Wicklow",6 beds
"€2,300,000"," Wish Willow,Whitepark,Arklow,Co. Wicklow,Y14 WY98",4 beds
"€339,000"," Schrule View, Monbay Lower, Craanford, Wexford",4 beds
"€365,000"," 16 Castlechurch Park, Newcastle, County Dublin",3 beds
"€715,000"," 14 Milford, Malahide, Co. Dublin",4 beds
"€295,000"," 4 Ashgrove Villas, Ballyvolane, Cork",3 beds
"€2,500,000"," 2 Orwell Park, Rathgar,   Dublin 6",5 beds
"€325,000"," 12 Cois Cuain, Whitegate, Cork",4 beds
"€285,000"," 2 Ardfield Court, Grange, Douglas, Cork",3 beds
"€485,000"," 68 Wellesley Manor , Newbridge, Kildare",5 beds
